Challenge,Response
0x1A2B3C,0
0x4F5E6D,1
0x9ABCDE,0
0x123456,1
0xFEDCBA,1
0xA1B2C3,1
0xC0FFEE,0
0xDEADBE,1
0x00FACE,0
0xABCDEF,1
0x13579B,0
0x2468AC,1
0x55AA55,0
0xAA55AA,1
0xCAFEB0,0
0xBABE01,1
0x0F0F0F,0
0xF0F0F0,1
0xABCDE1,0
0x1357AC,1
0x2468BD,0
0x999999,1
0x111111,0
0x222222,1
0x333333,0
0x444444,1
0x555555,0
0x666666,1
0x777777,0
0x888888,1
0xAAAAAA,0
0xBBBBBB,1
0xCCCCCC,0
0xDDDDDD,1
0xEEEEEE,0
0xFFFFFF,1
0x000000,0
0xABC123,1
0x123ABC,0
0xFACE00,1
0xBEEF01,0
0xC001D0,1
0xD15EA5,0
0x5A5A5A,1
0xA5A5A5,0
0x0BADC0,1
0xC0FF33,0
0xDEAD00,1
0x1C1C1C,0
0xE5E5E5,1
